porosity,atmosphere,gravity,coupling,strength,shape_factor,energy,angle_rad
0.33721510558604806,0.7812632824528565,3.71,0.8612580487512399,1.3058088311256029,0.7840277863904659,3.8264047746275347,0.8183031170893668
0.0580294798066281,0.13620532029753787,1.62,0.5612453019203648,3.49450054914036,0.9227374727226237,2.8287541680660127,1.1930361458603975
0.31563161758013214,0.7747036767126125,3.71,0.9488599885413889,1.3663860015205787,0.9549223902930354,3.068906647979538,0.6058717316450027
0.03306220696163152,0.1442040756910422,1.62,0.7137049367047973,3.5994188603610637,0.9329108200387807,2.7005737050876353,1.0737080499195546
0.27820701180471963,0.414620325217065,9.81,1.2372046078600443,1.9967416026698865,1.2608547580092353,3.484021586516926,0.8635678527240438
0.30391725902491146,0.5457063323358966,9.81,0.6324371247602736,0.8236243074038068,0.8133813614856493,3.4213414874507584,0.7049152549863813
0.07723666100383728,0.19492937889048384,9.81,0.7414318807601112,2.970363594904776,0.8977273971195887,3.1862450066436376,1.0848114263233752
0.30312743196238356,0.7256924541870302,1.62,0.610343169945092,1.7128921230965175,0.8135157298427624,2.811492903762867,0.5504837173507967
0.3293406091966376,0.5651558750436909,1.62,0.9026833789757808,1.64617864971229,0.8786599874518124,3.6856306391498475,0.7698250500640056
0.2666821986230048,0.6514617697045795,1.62,0.46652313929241274,2.338284491702818,1.0402877035637224,3.478441731048431,0.647608626911854
0.04615772715035104,0.15009267458210065,9.81,0.695292201650276,3.7931126722074042,0.881348817798684,2.934937794471614,1.2424624194802674
0.306569283801231,0.41805029774479113,1.62,0.7127198902825527,1.7026075499788509,1.1377551327399458,4.349773235175663,0.7533549663379725
0.2958808860546764,0.6934724259656047,3.71,1.258494384303658,2.087539120208919,0.9485772561327066,3.448675505710016,0.8548095530475824
0.06793406709200614,0.1459197205912765,1.62,0.7276107556258862,3.5043910778292995,0.8674833671527274,3.0917643100994496,1.2866809218277524
0.0036388755410004326,0.06040106962829886,3.71,0.6354187915222742,3.3934961047681824,0.8927856445754586,3.2566975488853167,1.199712331146597
0.286311995893333,0.7324475067688899,1.62,1.0787061781895466,1.927394711209126,0.8535161215294955,4.466796039021385,0.738051490396278
0.07988673447736228,0.17765641088902756,9.81,0.6049653066903232,3.6968534031339604,0.983986116520672,2.6738273391345833,1.268169885593768
0.0056071379697229685,0.17019610411880695,3.71,0.7305435217894904,3.1880213951615994,0.947000157931301,2.885771412953444,1.2890682035573837
0.07150454209577435,0.16400455779336115,1.62,0.6607537518693023,3.4188848384149377,0.9975620638455678,3.2194520904308352,1.1149799131438867
0.07962538543118287,0.11044752176057679,3.71,0.544298071706505,3.6840679820023783,0.8763874312476553,3.1288967543281663,1.1056853365653232
0.3013997539040001,0.6440548823512948,9.81,0.5954360745045091,2.4810887036737954,1.22756643943326,3.5796763097870805,0.8617771042656746
